country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Pakistan,1997,5.05,3.68,61.3
Panama,1997,2.81,176,76
Papua New Guinea,1997,4.63,27.2,56
Paraguay,1997,3.91,48.3,74.4
Peru,1997,3.14,54.3,72.6
Philippines,1997,3.92,17.7,69.3
Poland,1997,1.56,166,72.8
Portugal,1997,1.45,586,75.7
Qatar,1997,3.47,467,72.6
Romania,1997,1.32,52.6,69.1
Russia,1997,1.22,137,67.1
Rwanda,1997,5.94,5.39,46.5
Samoa,1997,4.64,56.4,71.3
Sao Tome and Principe,1997,5.44,19.3,63.7
Saudi Arabia,1997,4.53,152,74
Senegal,1997,5.77,7.56,59.5
Serbia,1997,1.84,104,71.1
Seychelles,1997,2.22,372,70.9
Sierra Leone,1997,6.51,3.3,50.9
Singapore,1997,1.61,367,78.2
Slovak Republic,1997,1.45,211,72.8
Slovenia,1997,1.24,598,75.2
Solomon Islands,1997,4.97,46,61.3
South Africa,1997,2.97,111,60.8
Spain,1997,1.2,769,78.7
Sri Lanka,1997,2.25,12.3,70.4
St. Lucia,1997,2.64,121,72.4
St. Vincent and the Grenadines,1997,2.58,106,70.9
Sudan,1997,5.68,3.09,61.7
Suriname,1997,2.97,69.1,70
Sweden,1997,1.53,1970,79.4
Switzerland,1997,1.49,2030,79.5
Syria,1997,4.32,20.9,71.1
Tajikistan,1997,4.33,2.48,66.2
Tanzania,1997,5.78,3.86,52.6
Thailand,1997,1.78,53.4,71
Timor-Leste,1997,6.83,38.5,63.2
Togo,1997,5.59,5.25,57
Tonga,1997,4.34,66.8,70.5
Trinidad and Tobago,1997,1.84,86.7,70.3
Tunisia,1997,2.38,61.1,73.4
Turkey,1997,2.66,93,71.7
Turkmenistan,1997,3.15,21.5,64.7
Uganda,1997,6.97,5,47.5
Ukraine,1997,1.27,34,67.8
United Arab Emirates,1997,3.06,588,72.4
United Kingdom,1997,1.73,1240,77.2
United States,1997,1.97,1810,76.6
Uruguay,1997,2.33,258,74
Uzbekistan,1997,3.19,20.6,67.6
Vanuatu,1997,4.61,35.8,61.9
Venezuela,1997,2.97,51.8,73.7
Vietnam,1997,2.36,5.66,70.7
Yemen,1997,6.99,9.44,61.7
Zambia,1997,6.12,16.8,45.5
